Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.920071,0.458946,0.300813,0.612411,25025,46796,2809068885,2547022469.000000,0.000000,518557,.,.,292513.000000,191178.000000,,1.53005575955,477109,.,.,263605.000000,184728.000000,,1.4269899528,41448,.,.,28908.000000,6450.000000,,4.48186046512,1538261,.,.,1177109.000000,322235.000000,,3.65295203811,493611,.,.,300950.000000,183899.000000,,1.63649612015,581921,.,.,553917.000000,25711.000000,,21.5439695072,462729,.,.,322242.000000,112625.000000,,2.86119422863
INDEL,*,*,PASS,*,QUAL,*,0.920071,0.458946,0.300813,0.612411,25025,46796,2809068885,2547022469.000000,0.000000,518557,.,.,292513.000000,191178.000000,,1.53005575955,477109,.,.,263605.000000,184728.000000,,1.4269899528,41448,.,.,28908.000000,6450.000000,,4.48186046512,1538261,.,.,1177109.000000,322235.000000,,3.65295203811,493611,.,.,300950.000000,183899.000000,,1.63649612015,581921,.,.,553917.000000,25711.000000,,21.5439695072,462729,.,.,322242.000000,112625.000000,,2.86119422863
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.913575,0.761492,0.497406,0.830629,12388,8547,83977437.000000,62855658.000000,0.000000,227632,.,.,126268.000000,85063.000000,,1.48440567579,207959,.,.,113651.000000,80526.000000,,1.41135782232,19673,.,.,12617.000000,4537.000000,,2.78091249724,564398,.,.,380588.000000,159290.000000,,2.38927741854,216007,.,.,131687.000000,80188.000000,,1.64222826358,67656,.,.,57576.000000,8458.000000,,6.80728304564,280735,.,.,191325.000000,70644.000000,,2.70829794462
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.913575,0.761492,0.497406,0.830629,12388,8547,83977437.000000,62855658.000000,0.000000,227632,.,.,126268.000000,85063.000000,,1.48440567579,207959,.,.,113651.000000,80526.000000,,1.41135782232,19673,.,.,12617.000000,4537.000000,,2.78091249724,564398,.,.,380588.000000,159290.000000,,2.38927741854,216007,.,.,131687.000000,80188.000000,,1.64222826358,67656,.,.,57576.000000,8458.000000,,6.80728304564,280735,.,.,191325.000000,70644.000000,,2.70829794462
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.917062,0.631911,0.8531,0.74824,378,416,38076769.000000,13780238.000000,0.000000,7379,.,.,4350.000000,2648.000000,,1.64274924471,6767,.,.,3869.000000,2592.000000,,1.49266975309,612,.,.,481.000000,56.000000,,8.58928571429,74493,.,.,54217.000000,17777.000000,,3.04983968049,6915,.,.,4268.000000,2566.000000,,1.66328916602,4028,.,.,3653.000000,367.000000,,9.95367847411,63550,.,.,46296.000000,14844.000000,,3.11883589329
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.917062,0.631911,0.8531,0.74824,378,416,38076769.000000,13780238.000000,0.000000,7379,.,.,4350.000000,2648.000000,,1.64274924471,6767,.,.,3869.000000,2592.000000,,1.49266975309,612,.,.,481.000000,56.000000,,8.58928571429,74493,.,.,54217.000000,17777.000000,,3.04983968049,6915,.,.,4268.000000,2566.000000,,1.66328916602,4028,.,.,3653.000000,367.000000,,9.95367847411,63550,.,.,46296.000000,14844.000000,,3.11883589329
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.881665,0.777978,0.574484,0.826582,2344,1746,26604713.000000,19582480.000000,0.000000,31960,.,.,17651.000000,9213.000000,,1.91587973516,28178,.,.,15435.000000,8782.000000,,1.75757230699,3782,.,.,2216.000000,431.000000,,5.14153132251,92671,.,.,68662.000000,20159.000000,,3.40602212411,30678,.,.,21187.000000,8671.000000,,2.44343213009,8755,.,.,6973.000000,1631.000000,,4.27529123237,53238,.,.,40502.000000,9857.000000,,4.10895810084
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.881665,0.777978,0.574484,0.826582,2344,1746,26604713.000000,19582480.000000,0.000000,31960,.,.,17651.000000,9213.000000,,1.91587973516,28178,.,.,15435.000000,8782.000000,,1.75757230699,3782,.,.,2216.000000,431.000000,,5.14153132251,92671,.,.,68662.000000,20159.000000,,3.40602212411,30678,.,.,21187.000000,8671.000000,,2.44343213009,8755,.,.,6973.000000,1631.000000,,4.27529123237,53238,.,.,40502.000000,9857.000000,,4.10895810084
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3739,.,.,2735.000000,946.000000,,2.8911205074,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3739,.,.,2735.000000,946.000000,,2.8911205074
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3739,.,.,2735.000000,946.000000,,2.8911205074,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3739,.,.,2735.000000,946.000000,,2.8911205074
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,ALL,*,QUAL,*,0.902779,0.696807,0.795782,0.786532,989,962,119934799.000000,20704494.000000,0.000000,17054,.,.,10128.000000,5482.000000,,1.84750091208,15396,.,.,8955.000000,5307.000000,,1.68739400791,1658,.,.,1173.000000,175.000000,,6.70285714286,112101,.,.,81748.000000,26290.000000,,3.10947128186,15952,.,.,10406.000000,5247.000000,,1.98322851153,6941,.,.,6111.000000,780.000000,,7.83461538462,89208,.,.,65231.000000,20263.000000,,3.2192172926
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,PASS,*,QUAL,*,0.902779,0.696807,0.795782,0.786532,989,962,119934799.000000,20704494.000000,0.000000,17054,.,.,10128.000000,5482.000000,,1.84750091208,15396,.,.,8955.000000,5307.000000,,1.68739400791,1658,.,.,1173.000000,175.000000,,6.70285714286,112101,.,.,81748.000000,26290.000000,,3.10947128186,15952,.,.,10406.000000,5247.000000,,1.98322851153,6941,.,.,6111.000000,780.000000,,7.83461538462,89208,.,.,65231.000000,20263.000000,,3.2192172926
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,ALL,*,QUAL,*,0.888314,0.833327,0.412088,0.859943,6755,3680,38085246.000000,29892681.000000,0.000000,93799,.,.,49790.000000,27078.000000,,1.83876209469,83323,.,.,43789.000000,25751.000000,,1.70047765135,10476,.,.,6001.000000,1327.000000,,4.52223059533,186123,.,.,129615.000000,45613.000000,,2.84162409839,91186,.,.,61285.000000,25515.000000,,2.40192043896,18238,.,.,13013.000000,4674.000000,,2.78412494651,76699,.,.,55317.000000,15424.000000,,3.58642375519
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,PASS,*,QUAL,*,0.888314,0.833327,0.412088,0.859943,6755,3680,38085246.000000,29892681.000000,0.000000,93799,.,.,49790.000000,27078.000000,,1.83876209469,83323,.,.,43789.000000,25751.000000,,1.70047765135,10476,.,.,6001.000000,1327.000000,,4.52223059533,186123,.,.,129615.000000,45613.000000,,2.84162409839,91186,.,.,61285.000000,25515.000000,,2.40192043896,18238,.,.,13013.000000,4674.000000,,2.78412494651,76699,.,.,55317.000000,15424.000000,,3.58642375519
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,ALL,*,QUAL,*,0.906015,0.772911,0.502218,0.834187,20009,13282,249348603.000000,121472001.000000,0.000000,335490,.,.,183907.000000,116891.000000,,1.57332044383,303959,.,.,164403.000000,110918.000000,,1.48220306893,31531,.,.,19504.000000,5973.000000,,3.26536079022,833708,.,.,571577.000000,224221.000000,,2.54916800835,320762,.,.,201825.000000,110285.000000,,1.83003128259,94243,.,.,78187.000000,13853.000000,,5.6440482206,418703,.,.,291565.000000,100083.000000,,2.91323201743
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,PASS,*,QUAL,*,0.906015,0.772911,0.502218,0.834187,20009,13282,249348603.000000,121472001.000000,0.000000,335490,.,.,183907.000000,116891.000000,,1.57332044383,303959,.,.,164403.000000,110918.000000,,1.48220306893,31531,.,.,19504.000000,5973.000000,,3.26536079022,833708,.,.,571577.000000,224221.000000,,2.54916800835,320762,.,.,201825.000000,110285.000000,,1.83003128259,94243,.,.,78187.000000,13853.000000,,5.6440482206,418703,.,.,291565.000000,100083.000000,,2.91323201743
INDEL,*,GRCh38_BadPromoters.bed.gz,ALL,*,QUAL,*,0.976744,0.569536,0.488136,0.719522,2,0,197273.000000,149914.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,49.000000,31.000000,,1.58064516129,2,.,.,1.000000,1.000000,,1.0,295,.,.,202.000000,86.000000,,2.3488372093,86,.,.,53.000000,31.000000,,1.70967741935,65,.,.,63.000000,2.000000,,31.5,144,.,.,86.000000,53.000000,,1.62264150943
INDEL,*,GRCh38_BadPromoters.bed.gz,PASS,*,QUAL,*,0.976744,0.569536,0.488136,0.719522,2,0,197273.000000,149914.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,49.000000,31.000000,,1.58064516129,2,.,.,1.000000,1.000000,,1.0,295,.,.,202.000000,86.000000,,2.3488372093,86,.,.,53.000000,31.000000,,1.70967741935,65,.,.,63.000000,2.000000,,31.5,144,.,.,86.000000,53.000000,,1.62264150943
INDEL,*,GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz,ALL,*,QUAL,*,0.865681,0.853106,0.519871,0.859347,3384,1828,8094883.000000,4475198.000000,0.000000,32676,.,.,10579.000000,10413.000000,,1.01594161145,28287,.,.,9205.000000,9586.000000,,0.960254537868,4389,.,.,1374.000000,827.000000,,1.66142684401,83867,.,.,54690.000000,21037.000000,,2.59970528117,34352,.,.,21824.000000,9532.000000,,2.28955098615,5915,.,.,3624.000000,1871.000000,,1.93693212186,43600,.,.,29242.000000,9634.000000,,3.03529167532
INDEL,*,GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz,PASS,*,QUAL,*,0.865681,0.853106,0.519871,0.859347,3384,1828,8094883.000000,4475198.000000,0.000000,32676,.,.,10579.000000,10413.000000,,1.01594161145,28287,.,.,9205.000000,9586.000000,,0.960254537868,4389,.,.,1374.000000,827.000000,,1.66142684401,83867,.,.,54690.000000,21037.000000,,2.59970528117,34352,.,.,21824.000000,9532.000000,,2.28955098615,5915,.,.,3624.000000,1871.000000,,1.93693212186,43600,.,.,29242.000000,9634.000000,,3.03529167532
INDEL,*,GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz,ALL,*,QUAL,*,0.926414,0.812565,0.418295,0.865763,3280,6515,62683977.000000,53388318.000000,0.000000,74756,.,.,37099.000000,33007.000000,,1.12397370255,69255,.,.,33445.000000,32007.000000,,1.04492767207,5501,.,.,3654.000000,1000.000000,,3.654,149397,.,.,92438.000000,52473.000000,,1.76162979056,70616,.,.,37793.000000,31617.000000,,1.1953379511,16289,.,.,13586.000000,2424.000000,,5.60478547855,62492,.,.,41059.000000,18432.000000,,2.22759331597
INDEL,*,GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz,PASS,*,QUAL,*,0.926414,0.812565,0.418295,0.865763,3280,6515,62683977.000000,53388318.000000,0.000000,74756,.,.,37099.000000,33007.000000,,1.12397370255,69255,.,.,33445.000000,32007.000000,,1.04492767207,5501,.,.,3654.000000,1000.000000,,3.654,149397,.,.,92438.000000,52473.000000,,1.76162979056,70616,.,.,37793.000000,31617.000000,,1.1953379511,16289,.,.,13586.000000,2424.000000,,5.60478547855,62492,.,.,41059.000000,18432.000000,,2.22759331597
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz,ALL,*,QUAL,*,0.909347,0.689909,0.461119,0.784573,21302,19615,663294362.000000,433744661.000000,0.000000,375309,.,.,206366.000000,134147.000000,,1.53835717534,341286,.,.,184626.000000,127945.000000,,1.44301066865,34023,.,.,21740.000000,6202.000000,,3.50532086424,962436,.,.,671353.000000,252502.000000,,2.65880270255,357813,.,.,221981.000000,127128.000000,,1.74612201875,160825,.,.,141600.000000,16994.000000,,8.33235259503,443798,.,.,307772.000000,108380.000000,,2.83974903119
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz,PASS,*,QUAL,*,0.909347,0.689909,0.461119,0.784573,21302,19615,663294362.000000,433744661.000000,0.000000,375309,.,.,206366.000000,134147.000000,,1.53835717534,341286,.,.,184626.000000,127945.000000,,1.44301066865,34023,.,.,21740.000000,6202.000000,,3.50532086424,962436,.,.,671353.000000,252502.000000,,2.65880270255,357813,.,.,221981.000000,127128.000000,,1.74612201875,160825,.,.,141600.000000,16994.000000,,8.33235259503,443798,.,.,307772.000000,108380.000000,,2.83974903119
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz,ALL,*,QUAL,*,0.948037,0.2444,0.033924,0.388617,3739,27134,2271586049.000000,2108650341.000000,0.000000,143507,.,.,86455.000000,56983.000000,,1.51720688626,136050,.,.,79256.000000,56734.000000,,1.39697535869,7457,.,.,7199.000000,249.000000,,28.9116465863,576106,.,.,505967.000000,69816.000000,,7.24714965051,136024,.,.,79245.000000,56722.000000,,1.3970769719,420538,.,.,411735.000000,8741.000000,,47.1038782748,19544,.,.,14987.000000,4353.000000,,3.44291293361
INDEL,*,GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz,PASS,*,QUAL,*,0.948037,0.2444,0.033924,0.388617,3739,27134,2271586049.000000,2108650341.000000,0.000000,143507,.,.,86455.000000,56983.000000,,1.51720688626,136050,.,.,79256.000000,56734.000000,,1.39697535869,7457,.,.,7199.000000,249.000000,,28.9116465863,576106,.,.,505967.000000,69816.000000,,7.24714965051,136024,.,.,79245.000000,56722.000000,,1.3970769719,420538,.,.,411735.000000,8741.000000,,47.1038782748,19544,.,.,14987.000000,4353.000000,,3.44291293361
INDEL,*,GRCh38_HG001_GIABv3.3.2_comphetindel10bp_slop50.bed.gz,ALL,*,QUAL,*,0.877959,0.870025,0.315994,0.873974,2672,1258,4667039.000000,3336857.000000,0.000000,28220,.,.,9295.000000,9493.000000,,0.979142526072,24776,.,.,8196.000000,8831.000000,,0.928094213566,3444,.,.,1099.000000,662.000000,,1.66012084592,50099,.,.,32367.000000,13688.000000,,2.36462594974,29814,.,.,18702.000000,8788.000000,,2.12812926718,4454,.,.,2629.000000,1516.000000,,1.73416886544,15831,.,.,11036.000000,3384.000000,,3.26122931442
INDEL,*,GRCh38_HG001_GIABv3.3.2_comphetindel10bp_slop50.bed.gz,PASS,*,QUAL,*,0.877959,0.870025,0.315994,0.873974,2672,1258,4667039.000000,3336857.000000,0.000000,28220,.,.,9295.000000,9493.000000,,0.979142526072,24776,.,.,8196.000000,8831.000000,,0.928094213566,3444,.,.,1099.000000,662.000000,,1.66012084592,50099,.,.,32367.000000,13688.000000,,2.36462594974,29814,.,.,18702.000000,8788.000000,,2.12812926718,4454,.,.,2629.000000,1516.000000,,1.73416886544,15831,.,.,11036.000000,3384.000000,,3.26122931442
INDEL,*,GRCh38_HG001_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz,ALL,*,QUAL,*,0.920118,0.572993,0.270306,0.706205,34,263,2358284.000000,2216237.000000,0.000000,676,.,.,377.000000,253.000000,,1.49011857708,622,.,.,341.000000,244.000000,,1.39754098361,54,.,.,36.000000,9.000000,,4.0,1502,.,.,1112.000000,356.000000,,3.12359550562,628,.,.,377.000000,240.000000,,1.57083333333,468,.,.,437.000000,26.000000,,16.8076923077,406,.,.,298.000000,90.000000,,3.31111111111
INDEL,*,GRCh38_HG001_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz,PASS,*,QUAL,*,0.920118,0.572993,0.270306,0.706205,34,263,2358284.000000,2216237.000000,0.000000,676,.,.,377.000000,253.000000,,1.49011857708,622,.,.,341.000000,244.000000,,1.39754098361,54,.,.,36.000000,9.000000,,4.0,1502,.,.,1112.000000,356.000000,,3.12359550562,628,.,.,377.000000,240.000000,,1.57083333333,468,.,.,437.000000,26.000000,,16.8076923077,406,.,.,298.000000,90.000000,,3.31111111111
INDEL,*,GRCh38_HG001_GIABv3.3.2_complexandSVs.bed.gz,ALL,*,QUAL,*,0.89434,0.836332,0.562285,0.864364,7361,5885,71123381.000000,43710173.000000,0.000000,102934,.,.,46530.000000,36545.000000,,1.27322479135,92058,.,.,41107.000000,34647.000000,,1.18645192946,10876,.,.,5423.000000,1898.000000,,2.85721812434,278421,.,.,186064.000000,78067.000000,,2.38338862772,101923,.,.,63799.000000,34009.000000,,1.8759446029,19946,.,.,14291.000000,4947.000000,,2.88882150798,156552,.,.,107974.000000,39111.000000,,2.76070670655
INDEL,*,GRCh38_HG001_GIABv3.3.2_complexandSVs.bed.gz,PASS,*,QUAL,*,0.89434,0.836332,0.562285,0.864364,7361,5885,71123381.000000,43710173.000000,0.000000,102934,.,.,46530.000000,36545.000000,,1.27322479135,92058,.,.,41107.000000,34647.000000,,1.18645192946,10876,.,.,5423.000000,1898.000000,,2.85721812434,278421,.,.,186064.000000,78067.000000,,2.38338862772,101923,.,.,63799.000000,34009.000000,,1.8759446029,19946,.,.,14291.000000,4947.000000,,2.88882150798,156552,.,.,107974.000000,39111.000000,,2.76070670655
INDEL,*,GRCh38_HG001_GIABv3.3.2_complexindel10bp_slop50.bed.gz,ALL,*,QUAL,*,0.937428,0.923085,0.353351,0.930201,291,213,1831984.000000,1365693.000000,0.000000,9573,.,.,4823.000000,4455.000000,,1.08260381594,8974,.,.,4391.000000,4337.000000,,1.012451003,599,.,.,432.000000,118.000000,,3.66101694915,14637,.,.,7903.000000,6516.000000,,1.21286065071,8737,.,.,4482.000000,4188.000000,,1.07020057307,728,.,.,481.000000,232.000000,,2.07327586207,5172,.,.,2940.000000,2096.000000,,1.40267175573
INDEL,*,GRCh38_HG001_GIABv3.3.2_complexindel10bp_slop50.bed.gz,PASS,*,QUAL,*,0.937428,0.923085,0.353351,0.930201,291,213,1831984.000000,1365693.000000,0.000000,9573,.,.,4823.000000,4455.000000,,1.08260381594,8974,.,.,4391.000000,4337.000000,,1.012451003,599,.,.,432.000000,118.000000,,3.66101694915,14637,.,.,7903.000000,6516.000000,,1.21286065071,8737,.,.,4482.000000,4188.000000,,1.07020057307,728,.,.,481.000000,232.000000,,2.07327586207,5172,.,.,2940.000000,2096.000000,,1.40267175573
INDEL,*,GRCh38_HG001_GIABv3.3.2_snpswithin10bp_slop50.bed.gz,ALL,*,QUAL,*,0.931257,0.556899,0.292401,0.696992,106,852,8313126.000000,7701307.000000,0.000000,2633,.,.,1385.000000,1131.000000,,1.22458001768,2452,.,.,1251.000000,1111.000000,,1.12601260126,181,.,.,134.000000,20.000000,,6.7,5961,.,.,4182.000000,1694.000000,,2.46871310508,2349,.,.,1287.000000,1036.000000,,1.24227799228,1869,.,.,1752.000000,110.000000,,15.9272727273,1743,.,.,1143.000000,548.000000,,2.08576642336
INDEL,*,GRCh38_HG001_GIABv3.3.2_snpswithin10bp_slop50.bed.gz,PASS,*,QUAL,*,0.931257,0.556899,0.292401,0.696992,106,852,8313126.000000,7701307.000000,0.000000,2633,.,.,1385.000000,1131.000000,,1.22458001768,2452,.,.,1251.000000,1111.000000,,1.12601260126,181,.,.,134.000000,20.000000,,6.7,5961,.,.,4182.000000,1694.000000,,2.46871310508,2349,.,.,1287.000000,1036.000000,,1.24227799228,1869,.,.,1752.000000,110.000000,,15.9272727273,1743,.,.,1143.000000,548.000000,,2.08576642336
INDEL,*,GRCh38_HG001_PG2016-1.0_comphetindel10bp_slop50.bed.gz,ALL,*,QUAL,*,0.900042,0.893174,0.305135,0.896595,1404,625,3192667.000000,2365493.000000,0.000000,19028,.,.,6955.000000,6807.000000,,1.02174232408,17126,.,.,6178.000000,6443.000000,,0.958870091572,1902,.,.,777.000000,364.000000,,2.13461538462,32130,.,.,19672.000000,9982.000000,,1.97074734522,19941,.,.,12034.000000,6432.000000,,1.87095771144,2385,.,.,1340.000000,895.000000,,1.49720670391,9804,.,.,6298.000000,2655.000000,,2.37212806026
INDEL,*,GRCh38_HG001_PG2016-1.0_comphetindel10bp_slop50.bed.gz,PASS,*,QUAL,*,0.900042,0.893174,0.305135,0.896595,1404,625,3192667.000000,2365493.000000,0.000000,19028,.,.,6955.000000,6807.000000,,1.02174232408,17126,.,.,6178.000000,6443.000000,,0.958870091572,1902,.,.,777.000000,364.000000,,2.13461538462,32130,.,.,19672.000000,9982.000000,,1.97074734522,19941,.,.,12034.000000,6432.000000,,1.87095771144,2385,.,.,1340.000000,895.000000,,1.49720670391,9804,.,.,6298.000000,2655.000000,,2.37212806026
INDEL,*,GRCh38_HG001_PG2016-1.0_comphetsnp10bp_slop50.bed.gz,ALL,*,QUAL,*,0.873518,0.570707,0.416789,0.690367,58,277,2476053.000000,2247957.000000,0.000000,759,.,.,418.000000,282.000000,,1.48226950355,663,.,.,347.000000,271.000000,,1.28044280443,96,.,.,71.000000,11.000000,,6.45454545455,2037,.,.,1480.000000,500.000000,,2.96,678,.,.,405.000000,262.000000,,1.54580152672,510,.,.,451.000000,53.000000,,8.50943396226,849,.,.,624.000000,185.000000,,3.37297297297
INDEL,*,GRCh38_HG001_PG2016-1.0_comphetsnp10bp_slop50.bed.gz,PASS,*,QUAL,*,0.873518,0.570707,0.416789,0.690367,58,277,2476053.000000,2247957.000000,0.000000,759,.,.,418.000000,282.000000,,1.48226950355,663,.,.,347.000000,271.000000,,1.28044280443,96,.,.,71.000000,11.000000,,6.45454545455,2037,.,.,1480.000000,500.000000,,2.96,678,.,.,405.000000,262.000000,,1.54580152672,510,.,.,451.000000,53.000000,,8.50943396226,849,.,.,624.000000,185.000000,,3.37297297297
INDEL,*,GRCh38_HG001_PG2016-1.0_complexindel10bp_slop50.bed.gz,ALL,*,QUAL,*,0.918401,0.903881,0.354257,0.911083,776,406,3021598.000000,2174166.000000,0.000000,14939,.,.,7265.000000,5816.000000,,1.24914030261,13720,.,.,6485.000000,5661.000000,,1.14555732203,1219,.,.,780.000000,155.000000,,5.03225806452,25617,.,.,15606.000000,9596.000000,,1.62630262609,14952,.,.,9149.000000,5617.000000,,1.62880541214,1590,.,.,1002.000000,555.000000,,1.80540540541,9075,.,.,5455.000000,3424.000000,,1.59316588785
INDEL,*,GRCh38_HG001_PG2016-1.0_complexindel10bp_slop50.bed.gz,PASS,*,QUAL,*,0.918401,0.903881,0.354257,0.911083,776,406,3021598.000000,2174166.000000,0.000000,14939,.,.,7265.000000,5816.000000,,1.24914030261,13720,.,.,6485.000000,5661.000000,,1.14555732203,1219,.,.,780.000000,155.000000,,5.03225806452,25617,.,.,15606.000000,9596.000000,,1.62630262609,14952,.,.,9149.000000,5617.000000,,1.62880541214,1590,.,.,1002.000000,555.000000,,1.80540540541,9075,.,.,5455.000000,3424.000000,,1.59316588785
INDEL,*,GRCh38_HG001_PG2016-1.0_snpswithin10bp_slop50.bed.gz,ALL,*,QUAL,*,0.910774,0.565874,0.442773,0.698045,141,903,8429415.000000,7500487.000000,0.000000,2701,.,.,1441.000000,1109.000000,,1.29936880072,2460,.,.,1250.000000,1091.000000,,1.14573785518,241,.,.,191.000000,18.000000,,10.6111111111,7846,.,.,5593.000000,2049.000000,,2.72962420693,2474,.,.,1369.000000,1074.000000,,1.27467411546,1898,.,.,1724.000000,169.000000,,10.201183432,3474,.,.,2500.000000,806.000000,,3.1017369727
INDEL,*,GRCh38_HG001_PG2016-1.0_snpswithin10bp_slop50.bed.gz,PASS,*,QUAL,*,0.910774,0.565874,0.442773,0.698045,141,903,8429415.000000,7500487.000000,0.000000,2701,.,.,1441.000000,1109.000000,,1.29936880072,2460,.,.,1250.000000,1091.000000,,1.14573785518,241,.,.,191.000000,18.000000,,10.6111111111,7846,.,.,5593.000000,2049.000000,,2.72962420693,2474,.,.,1369.000000,1074.000000,,1.27467411546,1898,.,.,1724.000000,169.000000,,10.201183432,3474,.,.,2500.000000,806.000000,,3.1017369727
INDEL,*,GRCh38_HG001_PacBio_MetaSV.bed.gz,ALL,*,QUAL,*,0.880902,0.546648,0.824376,0.674643,362,386,33250529.000000,17958868.000000,0.000000,4702,.,.,2684.000000,1732.000000,,1.54965357968,4142,.,.,2247.000000,1684.000000,,1.33432304038,560,.,.,437.000000,48.000000,,9.10416666667,44248,.,.,30114.000000,11582.000000,,2.6000690727,4248,.,.,2491.000000,1679.000000,,1.4836212031,3523,.,.,2899.000000,603.000000,,4.80762852405,36477,.,.,24724.000000,9300.000000,,2.65849462366
INDEL,*,GRCh38_HG001_PacBio_MetaSV.bed.gz,PASS,*,QUAL,*,0.880902,0.546648,0.824376,0.674643,362,386,33250529.000000,17958868.000000,0.000000,4702,.,.,2684.000000,1732.000000,,1.54965357968,4142,.,.,2247.000000,1684.000000,,1.33432304038,560,.,.,437.000000,48.000000,,9.10416666667,44248,.,.,30114.000000,11582.000000,,2.6000690727,4248,.,.,2491.000000,1679.000000,,1.4836212031,3523,.,.,2899.000000,603.000000,,4.80762852405,36477,.,.,24724.000000,9300.000000,,2.65849462366
INDEL,*,GRCh38_HG001_RTG_37.7.3_comphetindel10bp_slop50.bed.gz,ALL,*,QUAL,*,0.880422,0.868113,0.542469,0.874224,3710,2018,10477644.000000,5468755.000000,0.000000,42650,.,.,16439.000000,14134.000000,,1.1630819301,37550,.,.,14433.000000,13231.000000,,1.09084725266,5100,.,.,2006.000000,903.000000,,2.22148394241,109774,.,.,74445.000000,27481.000000,,2.70896255595,43601,.,.,27537.000000,13085.000000,,2.10447076806,6624,.,.,4028.000000,2179.000000,,1.84855438274,59549,.,.,42880.000000,12217.000000,,3.50986330523
